no,x,y,z,begin
21,0.481502,0.468514,0.546626,normal
22,0.480702,0.470626,0.507008,normal
23,0.467897,0.483952,0.47676,normal
24,0.45642,0.494489,0.467018,normal
25,0.499093,-0.0855607,0.185747,normal
26,0.504705,-0.112338,0.142717,normal
27,0.505675,-0.0812443,0.154942,normal
28,0.498121,-0.0529615,0.142029,normal
29,0.516307,-0.113372,0.105135,normal
30,0.520219,-0.0795234,0.107237,normal
31,0.504212,-0.0477253,0.104155,normal
32,0.530604,-0.116733,0.055838,normal
33,0.536544,-0.0784561,0.0578653,normal
34,0.515821,-0.0423221,0.0560181,normal
35,0.539274,-0.122718,0.00800981,normal
36,0.543273,-0.0833114,0.0246357,normal
37,0.529331,-0.0372008,0.00969452,normal
38,0.515998,-0.156793,-0.0351211,normal
39,0.536392,-0.137618,-0.0390679,normal
40,0.532521,-0.0244702,-0.0382908,normal
41,0.505933,-0.157344,-0.0874099,normal
42,0.53053,-0.140331,-0.0938008,normal
43,0.53216,-0.0119543,-0.0868703,normal
44,0.514607,-0.000749376,-0.102406,normal
45,0.546206,-0.128212,-0.120175,normal
no,x,y,z,end
no,x,y,z,begin
0,0.9135,-0.275927,-0.0174782,normal
1,0.917635,-0.258922,-0.0106979,normal
2,0.913993,-0.275978,-0.0200418,normal
3,0.915253,-0.263527,-0.0210671,normal
4,0.910471,-0.27561,-0.0167489,normal
5,0.88985,-0.239263,-0.00729081,normal
6,0.88046,-0.222033,-0.00741923,normal
7,0.889401,-0.244071,-0.0241382,normal
8,0.599754,-0.0617808,-0.102702,normal
9,0.512893,0.467851,0.542231,normal
10,0.510001,0.469184,0.52171,normal
11,0.547711,-0.0741968,0.034331,normal
12,0.551128,-0.106528,-0.00777158,normal
13,0.555231,-0.0757901,0.00494908,normal
14,0.548774,-0.0461568,-0.00542617,normal
15,0.555496,-0.112211,-0.0441908,normal
16,0.569187,-0.0749156,-0.0425493,normal
17,0.555714,-0.0396943,-0.0460839,normal
18,0.558754,-0.113582,-0.0896638,normal
19,0.579544,-0.0757632,-0.0871392,normal
20,0.563133,-0.0298921,-0.0900724,normal
21,0.558309,-0.0397627,-0.12037,normal
22,0.483908,0.468807,0.548646,normal
23,0.502401,-0.112832,0.490558,normal
24,0.504335,-0.0988671,0.489934,normal
25,0.481146,0.47114,0.507037,normal
26,0.500271,-0.0870096,0.461698,normal
27,0.467651,0.484194,0.476886,normal
28,0.45839,0.493378,0.467874,normal
29,0.499107,-0.0885767,0.185196,normal
30,0.504818,-0.111428,0.143384,normal
31,0.505669,-0.0814065,0.15502,normal
32,0.497588,-0.0537349,0.14236,normal
33,0.516516,-0.113303,0.105174,normal
34,0.520215,-0.0794538,0.107357,normal
35,0.503735,-0.047424,0.103527,normal
36,0.530236,-0.116351,0.0558511,normal
37,0.536315,-0.0785667,0.0580268,normal
38,0.515534,-0.0422734,0.0560241,normal
39,0.53839,-0.123365,0.0075075,normal
40,0.543009,-0.083751,0.0238965,normal
41,0.528413,-0.0366777,0.00937317,normal
42,0.517854,-0.156778,-0.0474318,normal
43,0.536232,-0.137362,-0.0395759,normal
44,0.532968,-0.0240903,-0.0384926,normal
45,0.505848,-0.157092,-0.0876589,normal
46,0.531082,-0.139772,-0.092669,normal
47,0.533348,-0.0125826,-0.0788656,normal
48,0.546139,-0.128737,-0.118483,normal
no,x,y,z,end
no,x,y,z,begin
0,0.988578,-0.274936,0.0143588,normal
1,0.988401,-0.25487,0.0168849,normal
2,0.905296,-0.126737,0.00357583,normal
3,0.90535,-0.11957,0.0062684,normal
4,0.875813,-0.288543,-0.00948851,normal
5,0.885729,-0.268731,0.00648603,normal
6,0.898272,-0.132987,-0.0110479,normal
7,0.898243,-0.115197,0.0103757,normal
8,0.872665,-0.296924,-0.0201946,normal
9,0.86657,-0.265024,-0.0345305,normal
10,0.859656,-0.272621,-0.0279454,normal
11,0.596945,-0.0644071,-0.103024,normal
12,0.513969,0.466787,0.53854,normal
13,0.5103,0.468687,0.52115,normal
14,0.548029,-0.0779278,0.0346995,normal
15,0.550834,-0.105621,-0.00748561,normal
16,0.555149,-0.0759348,0.00512503,normal
17,0.548473,-0.0462069,-0.00528808,normal
18,0.555572,-0.111853,-0.0443756,normal
19,0.569424,-0.074991,-0.0425307,normal
20,0.556122,-0.0397827,-0.0460839,normal
21,0.558759,-0.113392,-0.0896567,normal
22,0.579378,-0.0755815,-0.0863968,normal
23,0.563363,-0.0297377,-0.0888454,normal
24,0.578085,-0.443433,-0.157195,normal
25,0.563795,-0.0256345,-0.119744,normal
26,0.576841,-0.435104,-0.170764,normal
27,0.479303,0.46763,0.544339,normal
28,0.504196,-0.0971261,0.488888,normal
29,0.480576,0.470853,0.507034,normal
30,0.46832,0.484033,0.476326,normal
31,0.457551,0.493466,0.466941,normal
32,0.499224,-0.0918837,0.184002,normal
33,0.5043,-0.11146,0.142949,normal
34,0.505554,-0.0817196,0.154735,normal
35,0.49754,-0.0536881,0.142153,normal
36,0.516076,-0.113384,0.104955,normal
37,0.520075,-0.0794902,0.107249,normal
38,0.504731,-0.0476997,0.103248,normal
39,0.530479,-0.116499,0.0558304,normal
40,0.536445,-0.0784347,0.0582421,normal
41,0.515962,-0.0421583,0.0560645,normal
42,0.537833,-0.12324,0.00711544,normal
43,0.542988,-0.0821017,0.0238979,normal
44,0.528512,-0.0365853,0.00939855,normal
45,0.509752,-0.15758,-0.0460432,normal
46,0.535603,-0.137235,-0.0401392,normal
47,0.533197,-0.0243918,-0.0381556,normal
48,0.505982,-0.157388,-0.0853995,normal
49,0.530418,-0.140234,-0.0917798,normal
